version,lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
fourcastnet_mlp,30,10,10,278,1457,0.4356
fourcastnet_mlp,30,10,20,556,1457,0.5228
fourcastnet_mlp,30,20,2,56,1457,0.1348
fourcastnet_mlp,30,20,5,139,1457,0.1851
fourcastnet_mlp,30,20,10,278,1457,0.2386
fourcastnet_mlp,30,20,20,556,1457,0.2904
fourcastnet_mlp,30,50,2,56,1457,0.0598
fourcastnet_mlp,30,50,5,139,1457,0.0822
fourcastnet_mlp,30,50,10,278,1457,0.1063
fourcastnet_mlp,30,50,20,556,1457,0.1271
fourcastnet_mlp,36,5,2,56,1456,0.4159
fourcastnet_mlp,36,5,5,139,1456,0.5135
fourcastnet_mlp,36,5,10,278,1456,0.6136
fourcastnet_mlp,36,5,20,556,1456,0.7204
fourcastnet_mlp,36,10,2,56,1456,0.2458
fourcastnet_mlp,36,10,5,139,1456,0.3229
fourcastnet_mlp,36,10,10,278,1456,0.4037
fourcastnet_mlp,36,10,20,556,1456,0.4855
fourcastnet_mlp,36,20,2,56,1456,0.1197
fourcastnet_mlp,36,20,5,139,1456,0.1639
fourcastnet_mlp,36,20,10,278,1456,0.2094
fourcastnet_mlp,36,20,20,556,1456,0.253
fourcastnet_mlp,36,50,2,56,1456,0.0543
fourcastnet_mlp,36,50,5,139,1456,0.0748
fourcastnet_mlp,36,50,10,278,1456,0.0978
fourcastnet_mlp,36,50,20,556,1456,0.1164
fourcastnet_mlp,42,5,2,56,1455,0.4003
fourcastnet_mlp,42,5,5,139,1455,0.4956
fourcastnet_mlp,42,5,10,278,1455,0.594
fourcastnet_mlp,42,5,20,556,1455,0.7008
fourcastnet_mlp,42,10,2,56,1455,0.2257
fourcastnet_mlp,42,10,5,139,1455,0.2965
fourcastnet_mlp,42,10,10,278,1455,0.3709
fourcastnet_mlp,42,10,20,556,1455,0.4471
fourcastnet_mlp,42,20,2,56,1455,0.1063
fourcastnet_mlp,42,20,5,139,1455,0.1445
fourcastnet_mlp,42,20,10,278,1455,0.1839
fourcastnet_mlp,42,20,20,556,1455,0.2196
fourcastnet_mlp,42,50,2,56,1455,0.0489
fourcastnet_mlp,42,50,5,139,1455,0.0677
fourcastnet_mlp,42,50,10,278,1455,0.0882
fourcastnet_mlp,42,50,20,556,1455,0.1039
fourcastnet_mlp,48,5,2,56,1454,0.3857
fourcastnet_mlp,48,5,5,139,1454,0.4796
fourcastnet_mlp,48,5,10,278,1454,0.5778
fourcastnet_mlp,48,5,20,556,1454,0.6857
fourcastnet_mlp,48,10,2,56,1454,0.2059
fourcastnet_mlp,48,10,5,139,1454,0.2708
fourcastnet_mlp,48,10,10,278,1454,0.3381
fourcastnet_mlp,48,10,20,556,1454,0.4066
fourcastnet_mlp,48,20,2,56,1454,0.0946
fourcastnet_mlp,48,20,5,139,1454,0.1283
fourcastnet_mlp,48,20,10,278,1454,0.1622
fourcastnet_mlp,48,20,20,556,1454,0.1929
fourcastnet_mlp,48,50,2,56,1454,0.0437
fourcastnet_mlp,48,50,5,139,1454,0.0603
fourcastnet_mlp,48,50,10,278,1454,0.079
fourcastnet_mlp,48,50,20,556,1454,0.0943
